source_file,issue,rows_before,rows_after,rows_dropped
data/raw/2024/Apr/fhvhv_tripdata_2024-04.parquet,rows_dropped_during_cleaning,19733038,19732410,628
data/raw/2024/Apr/yellow_tripdata_2024-04.parquet,rows_dropped_during_cleaning,3514289,3469080,45209
data/raw/2024/Feb/fhvhv_tripdata_2024-02.parquet,rows_dropped_during_cleaning,19359148,19352998,6150
data/raw/2024/Feb/yellow_tripdata_2024-02.parquet,rows_dropped_during_cleaning,3007526,2970277,37249
data/raw/2024/June/fhvhv_tripdata_2024-06.parquet,rows_dropped_during_cleaning,20123226,20122914,312
data/raw/2024/June/yellow_tripdata_2024-06.parquet,rows_dropped_during_cleaning,3539193,3488938,50255
data/raw/2024/Mar/fhvhv_tripdata_2024-03.parquet,rows_dropped_during_cleaning,21280788,21279860,928
data/raw/2024/Mar/yellow_tripdata_2024-03.parquet,rows_dropped_during_cleaning,3582628,3536782,45846
data/raw/2024/May/fhvhv_tripdata_2024-05.parquet,rows_dropped_during_cleaning,20704538,20704206,332
data/raw/2024/May/yellow_tripdata_2024-05.parquet,rows_dropped_during_cleaning,3723833,3673319,50514
data/raw/2025/Apr/fhvhv_tripdata_2025-04.parquet,rows_dropped_during_cleaning,19753983,19741018,12965
data/raw/2025/Apr/yellow_tripdata_2025-04.parquet,rows_dropped_during_cleaning,3970553,3862613,107940
data/raw/2025/Feb/fhvhv_tripdata_2025-02.parquet,rows_dropped_during_cleaning,19339461,19338054,1407
data/raw/2025/Feb/yellow_tripdata_2025-02.parquet,rows_dropped_during_cleaning,3577543,3516753,60790
data/raw/2025/June/fhvhv_tripdata_2025-06.parquet,rows_dropped_during_cleaning,19868009,19856429,11580
data/raw/2025/June/yellow_tripdata_2025-06.parquet,rows_dropped_during_cleaning,4322960,4179498,143462
data/raw/2025/Mar/fhvhv_tripdata_2025-03.parquet,rows_dropped_during_cleaning,20536879,20477120,59759
data/raw/2025/Mar/yellow_tripdata_2025-03.parquet,rows_dropped_during_cleaning,4145257,4053697,91560
data/raw/2025/May/fhvhv_tripdata_2025-05.parquet,rows_dropped_during_cleaning,21091193,21090841,352
data/raw/2025/May/yellow_tripdata_2025-05.parquet,rows_dropped_during_cleaning,4591845,4414520,177325
