source_file,service_type,status,year,month,rows_before,dropoff_not_after_pickup,non_positive_passenger_cost_pretip,rows_after,rows_dropped,output_file,pickup_year_month_mismatch,negative_cbd_congestion_fee,non_positive_duration
data/raw/2024/Apr/fhvhv_tripdata_2024-04.parquet,hvfhv,ok,2024,4,19733038,1.0,627,19732410,628,data/processed/00_standardized_trips/hvfhv/2024/04.parquet,,,
data/raw/2024/Apr/yellow_tripdata_2024-04.parquet,yellow,ok,2024,4,3514289,1089.0,44111,3469080,45209,data/processed/00_standardized_trips/yellow/2024/04.parquet,9.0,,
data/raw/2024/Feb/fhvhv_tripdata_2024-02.parquet,hvfhv,ok,2024,2,19359148,3.0,6147,19352998,6150,data/processed/00_standardized_trips/hvfhv/2024/02.parquet,,,
data/raw/2024/Feb/yellow_tripdata_2024-02.parquet,yellow,ok,2024,2,3007526,803.0,36431,2970277,37249,data/processed/00_standardized_trips/yellow/2024/02.parquet,15.0,,
data/raw/2024/June/fhvhv_tripdata_2024-06.parquet,hvfhv,ok,2024,6,20123226,3.0,309,20122914,312,data/processed/00_standardized_trips/hvfhv/2024/06.parquet,,,
data/raw/2024/June/yellow_tripdata_2024-06.parquet,yellow,ok,2024,6,3539193,1140.0,49064,3488938,50255,data/processed/00_standardized_trips/yellow/2024/06.parquet,51.0,,
data/raw/2024/Mar/fhvhv_tripdata_2024-03.parquet,hvfhv,ok,2024,3,21280788,2.0,926,21279860,928,data/processed/00_standardized_trips/hvfhv/2024/03.parquet,,,
data/raw/2024/Mar/yellow_tripdata_2024-03.parquet,yellow,ok,2024,3,3582628,1128.0,44695,3536782,45846,data/processed/00_standardized_trips/yellow/2024/03.parquet,23.0,,
data/raw/2024/May/fhvhv_tripdata_2024-05.parquet,hvfhv,ok,2024,5,20704538,1.0,331,20704206,332,data/processed/00_standardized_trips/hvfhv/2024/05.parquet,,,
data/raw/2024/May/yellow_tripdata_2024-05.parquet,yellow,ok,2024,5,3723833,1147.0,49334,3673319,50514,data/processed/00_standardized_trips/yellow/2024/05.parquet,33.0,,
data/raw/2025/Apr/fhvhv_tripdata_2025-04.parquet,hvfhv,ok,2025,4,19753983,3.0,12962,19741018,12965,data/processed/00_standardized_trips/hvfhv/2025/04.parquet,,,
data/raw/2025/Apr/yellow_tripdata_2025-04.parquet,yellow,ok,2025,4,3970553,34769.0,22518,3862613,107940,data/processed/00_standardized_trips/yellow/2025/04.parquet,7.0,50646.0,
data/raw/2025/Feb/fhvhv_tripdata_2025-02.parquet,hvfhv,ok,2025,2,19339461,4.0,1403,19338054,1407,data/processed/00_standardized_trips/hvfhv/2025/02.parquet,,,
data/raw/2025/Feb/yellow_tripdata_2025-02.parquet,yellow,ok,2025,2,3577543,5164.0,18357,3516753,60790,data/processed/00_standardized_trips/yellow/2025/02.parquet,31.0,37238.0,
data/raw/2025/June/fhvhv_tripdata_2025-06.parquet,hvfhv,ok,2025,6,19868009,,11579,19856429,11580,data/processed/00_standardized_trips/hvfhv/2025/06.parquet,,,1.0
data/raw/2025/June/yellow_tripdata_2025-06.parquet,yellow,ok,2025,6,4322960,68583.0,24930,4179498,143462,data/processed/00_standardized_trips/yellow/2025/06.parquet,20.0,49929.0,
data/raw/2025/Mar/fhvhv_tripdata_2025-03.parquet,hvfhv,ok,2025,3,20536879,4.0,59755,20477120,59759,data/processed/00_standardized_trips/hvfhv/2025/03.parquet,,,
data/raw/2025/Mar/yellow_tripdata_2025-03.parquet,yellow,ok,2025,3,4145257,22280.0,22082,4053697,91560,data/processed/00_standardized_trips/yellow/2025/03.parquet,33.0,47165.0,
data/raw/2025/May/fhvhv_tripdata_2025-05.parquet,hvfhv,ok,2025,5,21091193,5.0,345,21090841,352,data/processed/00_standardized_trips/hvfhv/2025/05.parquet,,,2.0
data/raw/2025/May/yellow_tripdata_2025-05.parquet,yellow,ok,2025,5,4591845,64272.0,60405,4414520,177325,data/processed/00_standardized_trips/yellow/2025/05.parquet,24.0,52624.0,
